Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
01;Østfold;;;;;A;Arbeiderpartiet;40;;;;60902;;;;;
01;Østfold;;;;;FRP;Fremskrittspartiet;14;;;;20661;;;;;
01;Østfold;;;;;H;Høyre;19;;;;29276;;;;;
01;Østfold;;;;;KRF;Kristelig Folkeparti;8;;;;12789;;;;;
01;Østfold;;;;;SP;Senterpartiet;6;;;;9116;;;;;
01;Østfold;;;;;SV;Sosialistisk Venstreparti;10;;;;14891;;;;;
01;Østfold;;;;;V;Venstre;2;;;;2739;;;;;
01;Østfold;;;;;MDG;Miljøpartiet de Grønne;1;;;;796;;;;;
01;Østfold;;;;;PP;Pensjonistpartiet;0;;;;689;;;;;
01;Østfold;;;;;DLF;Det Liberale Folkepartiet;0;;;;44;;;;;
01;Østfold;;;;;FLMS;Fylkeslistene for miljø og solidaritet;0;;;;757;;;;;
02;Akershus;;;;;A;Arbeiderpartiet;31;;;;80862;;;;;
02;Akershus;;;;;FRP;Fremskrittspartiet;15;;;;39851;;;;;
02;Akershus;;;;;H;Høyre;31;;;;81140;;;;;
02;Akershus;;;;;KRF;Kristelig Folkeparti;4;;;;11229;;;;;
02;Akershus;;;;;SP;Senterpartiet;5;;;;12187;;;;;
02;Akershus;;;;;SV;Sosialistisk Venstreparti;10;;;;26295;;;;;
02;Akershus;;;;;V;Venstre;3;;;;7634;;;;;
02;Akershus;;;;;MDG;Miljøpartiet de Grønne;1;;;;1353;;;;;
02;Akershus;;;;;DLF;Det Liberale Folkepartiet;0;;;;116;;;;;
02;Akershus;;;;;SI;Stopp Innvandringen;1;;;;1342;;;;;
02;Akershus;;;;;FLMS;Fylkeslistene for miljø og solidaritet;1;;;;1464;;;;;
02;Akershus;;;;;FF;Frie Folkevalgte;0;;;;59;;;;;
03;Oslo;;;;;A;Arbeiderpartiet;30;;;;89414;;;;;
03;Oslo;;;;;FRP;Fremskrittspartiet;15;;;;44920;;;;;
03;Oslo;;;;;H;Høyre;32;;;;95679;;;;;
03;Oslo;;;;;KRF;Kristelig Folkeparti;4;;;;11414;;;;;
03;Oslo;;;;;SP;Senterpartiet;1;;;;2189;;;;;
03;Oslo;;;;;SV;Sosialistisk Venstreparti;12;;;;34882;;;;;
03;Oslo;;;;;V;Venstre;3;;;;7963;;;;;
03;Oslo;;;;;MDG;Miljøpartiet de Grønne;1;;;;1727;;;;;
03;Oslo;;;;;PP;Pensjonistpartiet;1;;;;1770;;;;;
03;Oslo;;;;;DLF;Det Liberale Folkepartiet;0;;;;110;;;;;
03;Oslo;;;;;SI;Stopp Innvandringen;1;;;;2636;;;;;
03;Oslo;;;;;FLMS;Fylkeslistene for miljø og solidaritet;3;;;;7543;;;;;
03;Oslo;;;;;FF;Frie Folkevalgte;0;;;;52;;;;;
04;Hedmark;;;;;A;Arbeiderpartiet;52;;;;63427;;;;;
04;Hedmark;;;;;FRP;Fremskrittspartiet;8;;;;9689;;;;;
04;Hedmark;;;;;H;Høyre;12;;;;14726;;;;;
04;Hedmark;;;;;KRF;Kristelig Folkeparti;3;;;;4152;;;;;
04;Hedmark;;;;;SP;Senterpartiet;10;;;;12324;;;;;
04;Hedmark;;;;;SV;Sosialistisk Venstreparti;12;;;;14316;;;;;
04;Hedmark;;;;;V;Venstre;2;;;;1893;;;;;
04;Hedmark;;;;;MDG;Miljøpartiet de Grønne;0;;;;471;;;;;
04;Hedmark;;;;;DLF;Det Liberale Folkepartiet;0;;;;42;;;;;
04;Hedmark;;;;;FLMS;Fylkeslistene for miljø og solidaritet;0;;;;453;;;;;
04;Hedmark;;;;;FF;Frie Folkevalgte;0;;;;42;;;;;
05;Oppland;;;;;A;Arbeiderpartiet;49;;;;57017;;;;;
05;Oppland;;;;;FRP;Fremskrittspartiet;9;;;;11047;;;;;
05;Oppland;;;;;H;Høyre;13;;;;14723;;;;;
05;Oppland;;;;;KRF;Kristelig Folkeparti;5;;;;6222;;;;;
